"National
Dex","Pokemon
Name",Classification,HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,"Evolution
Method"
64,Kadabra,,40,35,30,120,70,105,400,Psychic,,Synchronize,Inner Focus,Magic Guard,Trade
65,Alakazam,,55,50,45,135,95,120,500,Psychic,,Synchronize,Inner Focus,Magic Guard,
65.1,Alakazam (Mega),Mega Evolution,55,50,65,175,95,150,590,Psychic,,Trace,,,
66,Machop,,70,80,50,35,35,35,305,Fighting,,Guts,No Guard,Steadfast,Lv. 28
67,Machoke,,80,100,70,50,60,45,405,Fighting,,Guts,No Guard,Steadfast,Trade
68,Machamp,,90,130,80,65,85,55,505,Fighting,,Guts,No Guard,Steadfast,
69,Bellsprout,,50,75,35,70,30,40,300,Grass,Poison,Chlorophyll,,Gluttony,Lv. 21
70,Weepinbell,,65,90,50,85,45,55,390,Grass,Poison,Chlorophyll,,Gluttony,Leaf Stone
71,Victreebel,,80,105,65,100,70,70,490,Grass,Poison,Chlorophyll,,Gluttony,
72,Tentacool,,40,40,35,50,100,70,335,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Lv. 30
73,Tentacruel,,80,70,65,80,120,100,515,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,
74,Geodude,,40,80,100,30,30,20,300,Rock,Ground,Rock Head,Sturdy,Sand Veil,Lv. 25
74.1,Geodude (Alolan),Alolan Form,40,80,100,30,30,20,300,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Lv. 25
75,Graveler,,55,95,115,45,45,35,390,Rock,Ground,Rock Head,Sturdy,Sand Veil,Trade
75.1,Graveler (Alolan),Alolan Form,55,95,115,45,45,35,390,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Trade
76,Golem,,80,120,130,55,65,45,495,Rock,Ground,Rock Head,Sturdy,Sand Veil,
76.1,Golem (Alolan),Alolan Form,80,120,130,55,65,45,495,Rock,Electric,Magnet Pull,Sturdy,Galvanize,
77,Ponyta,,50,85,55,65,65,90,410,Fire,,Run Away,Flash Fire,Flame Body,Lv. 40
77.1,Ponyta (Galarian),Galarian Form,50,85,55,65,65,90,410,Psychic,,Run Away,Pastel Veil,Anticipation,Lv. 40
78,Rapidash,,65,100,70,80,80,105,500,Fire,,Run Away,Flash Fire,Flame Body,
78.1,Rapidash (Galarian),Galarian Form,65,100,70,80,80,105,500,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,
79,Slowpoke,,90,65,65,40,40,15,315,Water,Psychic,Oblivious,Own Tempo,Regenerator,Lv. 37/Trade (Holding King's Rock)
79.1,Slowpoke (Galarian),Galarian Form,90,65,65,40,40,15,315,Psychic,,Gluttony,Own Tempo,Regenerator,Galarica Cuff/Galarica Wreath
80,Slowbro,,95,75,110,100,80,30,490,Water,Psychic,Oblivious,Own Tempo,Regenerator,
80.1,Slowbro (Mega),Mega Evolution,95,75,180,130,80,30,590,Water,Psychic,Shell Armor,,,
80.2,Slowbro (Galarian),Galarian Form,95,100,85,100,70,30,480,Poison,Psychic,Quick Draw,Own Tempo,Regenerator,
81,Magnemite,,25,35,70,95,55,45,325,Electric,Steel,Magnet Pull,Sturdy,Analytic,Lv. 30
82,Magneton,,50,60,95,120,70,70,465,Electric,Steel,Magnet Pull,Sturdy,Analytic,Thunder Stone
83,Farfetch'd,,52,90,55,58,62,60,377,Normal,Flying,Keen Eye,Inner Focus,Defiant,
83.1,Farfetch'd (Galarian),Galarian Form,52,95,55,58,62,55,377,Fighting,,Steadfast,Steadfast,Scrappy,3 Critical Hits in 1 Battle
84,Doduo,,35,85,45,35,35,75,310,Normal,Flying,Run Away,Early Bird,Tangled Feet,Lv. 31
85,Dodrio,,60,110,70,60,60,110,470,Normal,Flying,Run Away,Early Bird,Tangled Feet,
86,Seel,,65,45,55,45,70,45,325,Water,,Thick Fat,Hydration,Ice Body,Lv. 34
87,Dewgong,,90,70,80,70,95,70,475,Water,Ice,Thick Fat,Hydration,Ice Body,
88,Grimer,,80,80,50,40,50,25,325,Poison,,Stench,Sticky Hold,Poison Touch,Lv. 38
88.1,Grimer (Alolan),Alolan Form,80,80,50,40,50,25,325,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,Lv. 38
89,Muk,,105,105,75,65,100,50,500,Poison,,Stench,Sticky Hold,Poison Touch,
89.1,Muk (Alolan),Alolan Form,105,105,75,65,100,50,500,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,
90,Shellder,,30,65,100,45,25,40,305,Water,,Shell Armor,Skill Link,Overcoat,Water Stone
91,Cloyster,,50,95,180,85,45,70,525,Water,Ice,Shell Armor,Skill Link,Overcoat,
92,Gastly,,30,35,30,100,35,80,310,Ghost,Poison,Levitate,,,Lv. 25
93,Haunter,,45,50,45,115,55,95,405,Ghost,Poison,Levitate,,,Trade
94,Gengar,,60,65,60,130,75,110,500,Ghost,Poison,Cursed Body,,,
94.1,Gengar (Mega),Mega Evolution,60,65,80,170,95,130,600,Ghost,Poison,Shadow Tag,,,
95,Onix,,35,45,160,30,45,70,385,Rock,Ground,Rock Head,Sturdy,Weak Armor,Trade (Holding Metal Coat)
96,Drowzee,,60,48,45,43,90,42,328,Psychic,,Insomnia,Forewarn,Inner Focus,Lv. 26
97,Hypno,,85,73,70,73,115,67,483,Psychic,,Insomnia,Forewarn,Inner Focus,
98,Krabby,,30,105,90,25,25,50,325,Water,,Hyper Cutter,Shell Armor,Sheer Force,Lv. 28
99,Kingler,,55,130,115,50,50,75,475,Water,,Hyper Cutter,Shell Armor,Sheer Force,
100,Voltorb,,40,30,50,55,55,100,330,Electric,,Soundproof,Static,Aftermath,Lv. 30
100.1,Voltorb (Hisuian),Hisuian Form,40,30,50,55,55,100,330,Electric,Grass,Soundproof,Static,Aftermath,Leaf Stone
101,Electrode,,60,50,70,80,80,150,490,Electric,,Soundproof,Static,Aftermath,
101.1,Electrode (Hisuian),Hisuian Form,60,50,70,80,80,150,490,Electric,Grass,Soundproof,Static,Aftermath,
102,Exeggcute,,60,40,80,60,45,40,325,Grass,Psychic,Chlorophyll,,Harvest,Leaf Stone
103,Exeggutor,,95,95,85,125,75,55,530,Grass,Psychic,Chlorophyll,,Harvest,
103.1,Exeggutor (Alolan),Alolan Form,95,105,85,125,75,45,530,Grass,Dragon,Frisk,,Harvest,
104,Cubone,,50,50,95,40,50,35,320,Ground,,Rock Head,Lightningrod,Battle Armor,Lv. 28/Lv. 28 (Night)
105,Marowak,,60,80,110,50,80,45,425,Ground,,Rock Head,Lightningrod,Battle Armor,
105.1,Marowak (Alolan),Alolan Form,60,80,110,50,80,45,425,Fire,Ghost,Cursed Body,Lightningrod,Rock Head,
106,Hitmonlee,,50,120,53,35,110,87,455,Fighting,,Limber,Reckless,Unburden,
107,Hitmonchan,,50,105,79,35,110,76,455,Fighting,,Keen Eye,Iron Fist,Inner Focus,
108,Lickitung,,90,55,75,60,75,30,385,Normal,,Own Tempo,Oblivious,Cloud Nine,Level Up (Knowing Rollout)
109,Koffing,,40,65,95,60,45,35,340,Poison,,Levitate,Neutralizing Gas,Stench,Lv. 35
110,Weezing,,65,90,120,85,70,60,490,Poison,,Levitate,Neutralizing Gas,Stench,
110.1,Weezing (Galarian),Galarian Form,65,90,120,85,70,60,490,Poison,Fairy,Levitate,Neutralizing Gas,Misty Surge,
111,Rhyhorn,,80,85,95,30,30,25,345,Ground,Rock,Lightningrod,Rock Head,Reckless,Lv. 42
112,Rhydon,,105,130,120,45,45,40,485,Ground,Rock,Lightningrod,Rock Head,Reckless,Trade (Holding Protector)
113,Chansey,,250,5,5,35,105,50,450,Normal,,Natural Cure,Serene Grace,Healer,Friendship
114,Tangela,,65,55,115,100,40,60,435,Grass,,Chlorophyll,Leaf Guard,Regenerator,Level Up (Knowing Ancient Power)
115,Kangaskhan,,105,95,80,40,80,90,490,Normal,,Early Bird,Scrappy,Inner Focus,
115.1,Kangaskhan (Mega),Mega Evolution,105,125,100,60,100,100,590,Normal,,Parental Bond,,,
116,Horsea,,30,40,70,70,25,60,295,Water,,Swift Swim,Sniper,Damp,Lv. 32
117,Seadra,,55,65,95,95,45,85,440,Water,,Poison Point,Sniper,Damp,Trade (Holding Dragon Scale)
118,Goldeen,,45,67,60,35,50,63,320,Water,,Swift Swim,Water Veil,Lightningrod,Lv. 33
119,Seaking,,80,92,65,65,80,68,450,Water,,Swift Swim,Water Veil,Lightningrod,
120,Staryu,,30,45,55,70,55,85,340,Water,,Illuminate,Natural Cure,Analytic,Water Stone
121,Starmie,,60,75,85,100,85,115,520,Water,Psychic,Illuminate,Natural Cure,Analytic,
122,Mr. Mime,,40,45,65,100,120,90,460,Psychic,Fairy,Soundproof,Filter,Technician,
122.1,Mr. Mime (Galarian),Galarian Form,50,65,65,90,90,100,460,Ice,Psychic,Vital Spirit,Screen Cleaner,Ice Body,Lv. 42
123,Scyther,,70,110,80,55,80,105,500,Bug,Flying,Swarm,Technician,Steadfast,Trade (Holding Metal Coat)/Black Augurite
124,Jynx,,65,50,35,115,95,95,455,Ice,Psychic,Oblivious,Forewarn,Dry Skin,
125,Electabuzz,,65,83,57,95,85,105,490,Electric,,Static,,Vital Spirit,Trade (Holding Electrizer)
126,Magmar,,65,95,57,100,85,93,495,Fire,,Flame Body,,Vital Spirit,Trade (Holding Magmarizer)
127,Pinsir,,65,125,100,55,70,85,500,Bug,,Hyper Cutter,Mold Breaker,Moxie,
127.1,Pinsir (Mega),Mega Evolution,65,155,120,65,90,105,600,Bug,Flying,Aerilate,,,
128,Tauros,,75,100,95,40,70,110,490,Normal,,Intimidate,Anger Point,Sheer Force,
128.1,"Tauros (Paldean, Combat)",Paldean Form,75,110,105,30,70,100,490,Fighting,,Intimidate,Anger Point,Cud Chew,
128.2,"Tauros (Paldean, Blaze)",Paldean Form,75,110,105,30,70,100,490,Fighting,Fire,Intimidate,Anger Point,Cud Chew,
128.3,"Tauros (Paldean, Aqua)",Paldean Form,75,110,105,30,70,100,490,Fighting,Water,Intimidate,Anger Point,Cud Chew,
129,Magikarp,,20,10,55,15,20,80,200,Water,,Swift Swim,,Rattled,Lv. 20
130,Gyarados,,95,125,79,60,100,81,540,Water,Flying,Intimidate,,Moxie,
130.1,Gyarados (Mega),Mega Evolution,95,155,109,70,130,81,640,Water,Dark,Mold Breaker,,,
131,Lapras,,130,85,80,85,95,60,535,Water,Ice,Water Absorb,Shell Armor,Hydration,
132,Ditto,,48,48,48,48,48,48,288,Normal,,Limber,,Imposter,
133,Eevee,,55,55,50,45,65,55,325,Normal,,Run Away,Adaptability,Anticipation,Stone (Water/Thunder/Fire/Leaf/Ice)/Friendhsip (Day/Night/Fairy Move)
134,Vaporeon,Eeveelution,130,65,60,110,95,65,525,Water,,Water Absorb,,Hydration,
135,Jolteon,Eeveelution,65,65,60,110,95,130,525,Electric,,Volt Absorb,,Quick Feet,
136,Flareon,Eeveelution,65,130,60,95,110,65,525,Fire,,Flash Fire,,Guts,
137,Porygon,,65,60,70,85,75,40,395,Normal,,Trace,Download,Analytic,Trade (Holding Up-Grade)
138,Omanyte,Fossil,35,40,100,90,55,35,355,Rock,Water,Swift Swim,Shell Armor,Weak Armor,Lv. 40
139,Omastar,Fossil,70,60,125,115,70,55,495,Rock,Water,Swift Swim,Shell Armor,Weak Armor,
140,Kabuto,Fossil,30,80,90,55,45,55,355,Rock,Water,Swift Swim,Battle Armor,Weak Armor,Lv. 40
141,Kabutops,Fossil,60,115,105,65,70,80,495,Rock,Water,Swift Swim,Battle Armor,Weak Armor,
142,Aerodactyl,Fossil,80,105,65,60,75,130,515,Rock,Flying,Rock Head,Pressure,Unnerve,
142.1,Aerodactyl (Mega),Mega Evolution,80,135,85,70,95,150,615,Rock,Flying,Tough Claws,,,
143,Snorlax,,160,110,65,65,110,30,540,Normal,,Immunity,Thick Fat,Gluttony,
144,Articuno,Sub-Legendary,90,85,100,95,125,85,580,Ice,Flying,Pressure,,Snow Cloak,
144.1,Articuno (Galarian),"Sub-Legendary, Galarian Form",90,85,85,125,100,95,580,Psychic,Flying,Competitive,,,
145,Zapdos,Sub-Legendary,90,90,85,125,90,100,580,Electric,Flying,Pressure,,Static,
145.1,Zapdos (Galarian),"Sub-Legendary, Galarian Form",90,125,90,85,90,100,580,Fighting,Flying,Defiant,,,
146,Moltres,Sub-Legendary,90,100,90,125,85,90,580,Fire,Flying,Pressure,,Flame Body,
146.1,Moltres (Galarian),"Sub-Legendary, Galarian Form",90,85,90,100,125,90,580,Dark,Flying,Berserk,,,
147,Dratini,Pseudo Legendary,41,64,45,50,50,50,300,Dragon,,Shed Skin,,Marvel Scale,Lv. 30
148,Dragonair,Pseudo Legendary,61,84,65,70,70,70,420,Dragon,,Shed Skin,,Marvel Scale,Lv. 55
149,Dragonite,Pseudo Legendary,91,134,95,100,100,80,600,Dragon,Flying,Inner Focus,,Multiscale,
150,Mewtwo,Legendary,106,110,90,154,90,130,680,Psychic,,Pressure,,Unnerve,
150.1,Mewtwo (Mega X),"Legendary, Mega Evolution",106,190,100,154,100,130,780,Psychic,Fighting,Steadfast,,,
150.2,Mewtwo (Mega Y),"Legendary, Mega Evolution",106,150,70,194,120,140,780,Psychic,,Insomnia,,,
151,Mew,Mythical,100,100,100,100,100,100,600,Psychic,,Synchronize,,,
152,Chikorita,Starter,45,49,65,49,65,45,318,Grass,,Overgrow,,Leaf Guard,Lv. 16
153,Bayleef,Starter,60,62,80,63,80,69,414,Grass,,Overgrow,,Leaf Guard,Lv. 32
154,Meganium,Starter,80,82,100,83,100,80,525,Grass,,Overgrow,,Leaf Guard,
155,Cyndaquil,Starter,39,52,43,60,50,65,309,Fire,,Blaze,,Flash Fire,Lv. 14
156,Quilava,Starter,58,64,58,80,65,80,405,Fire,,Blaze,,Flash Fire,Lv. 36
157,Typhlosion,Starter,78,84,78,109,85,100,534,Fire,,Blaze,,Flash Fire,
157.1,Typhlosion (Hisuian),"Starter, Hisuian Variant",73,84,78,119,85,95,534,Fire,Ghost,Blaze,,Frisk,
158,Totodile,Starter,50,65,64,44,48,43,314,Water,,Torrent,,Sheer Force,Lv. 18
159,Croconaw,Starter,65,80,80,59,63,58,405,Water,,Torrent,,Sheer Force,Lv. 30
160,Feraligatr,Starter,85,105,100,79,83,78,530,Water,,Torrent,,Sheer Force,
161,Sentret,,35,46,34,35,45,20,215,Normal,,Run Away,Keen Eye,Frisk,Lv. 15
162,Furret,,85,76,64,45,55,90,415,Normal,,Run Away,Keen Eye,Frisk,
163,Hoothoot,,60,30,30,36,56,50,262,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,Lv. 20
164,Noctowl,,100,50,50,86,96,70,452,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,
165,Ledyba,,40,20,30,40,80,55,265,Bug,Flying,Swarm,Early Bird,Rattled,Lv. 18
166,Ledian,,55,35,50,55,110,85,390,Bug,Flying,Swarm,Early Bird,Iron Fist,
167,Spinarak,,40,60,40,40,40,30,250,Bug,Poison,Swarm,Insomnia,Sniper,Lv. 22
168,Ariados,,70,90,70,60,70,40,400,Bug,Poison,Swarm,Insomnia,Sniper,
169,Crobat,,85,90,80,70,80,130,535,Poison,Flying,Inner Focus,,Infiltrator,
170,Chinchou,,75,38,38,56,56,67,330,Water,Electric,Volt Absorb,Illuminate,Water Absorb,Lv. 27
171,Lanturn,,125,58,58,76,76,67,460,Water,Electric,Volt Absorb,Illuminate,Water Absorb,
172,Pichu,Baby,20,40,15,35,35,60,205,Electric,,Static,,Lightningrod,Friendship
173,Cleffa,Baby,50,25,28,45,55,15,218,Fairy,,Cute Charm,Magic Guard,Friend Guard,Friendship
174,Igglybuff,Baby,90,30,15,40,20,15,210,Normal,Fairy,Cute Charm,,Friend Guard,Friendship
175,Togepi,Baby,35,20,65,40,65,20,245,Fairy,,Hustle,Serene Grace,Super Luck,Friendship
176,Togetic,,55,40,85,80,105,40,405,Fairy,Flying,Hustle,Serene Grace,Super Luck,Shiny Stone
177,Natu,,40,50,45,70,45,70,320,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,Lv. 25
178,Xatu,,65,75,70,95,70,95,470,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,
179,Mareep,,55,40,40,65,45,35,280,Electric,,Static,,Plus,Lv. 15
180,Flaaffy,,70,55,55,80,60,45,365,Electric,,Static,,Plus,Lv. 30
181,Ampharos,,90,75,85,115,90,55,510,Electric,,Static,,Plus,
181.1,Ampharos (Mega),Mega Evolution,90,95,105,165,110,45,610,Electric,Dragon,Mold Breaker,,,
182,Bellossom,,75,80,95,90,100,50,490,Grass,,Chlorophyll,,Healer,
183,Marill,,70,20,50,20,50,40,250,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,Lv. 18
184,Azumarill,,100,50,80,60,80,50,420,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,
185,Sudowoodo,,70,100,115,30,65,30,410,Rock,,Sturdy,Rock Head,Rattled,
186,Politoed,,90,75,75,90,100,70,500,Water,,Water Absorb,Damp,Drizzle,
187,Hoppip,,35,35,40,35,55,50,250,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,Lv. 18
188,Skiploom,,55,45,50,45,65,80,340,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,Lv. 27
189,Jumpluff,,75,55,70,55,95,110,460,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,
190,Aipom,,55,70,55,40,55,85,360,Normal,,Run Away,Pickup,Skill Link,Level Up (Knowing Double Hit)
191,Sunkern,,30,30,30,30,30,30,180,Grass,,Chlorophyll,Solar Power,Early Bird,Sun Stone
192,Sunflora,,75,75,55,105,85,30,425,Grass,,Chlorophyll,Solar Power,Early Bird,
193,Yanma,,65,65,45,75,45,95,390,Bug,Flying,Speed Boost,Compoundeyes,Frisk,Level Up (Knowing Ancient Power)
194,Wooper,,55,45,45,25,25,15,210,Water,Ground,Damp,Water Absorb,Unaware,Lv. 20
194.1,Wooper (Paldean),Paldean Form,55,45,45,25,25,15,210,Poison,Ground,Poison Point,Water Absorb,Unaware,Lv. 20
195,Quagsire,,95,85,85,65,65,35,430,Water,Ground,Damp,Water Absorb,Unaware,
196,Espeon,Eeveelution,65,65,60,130,95,110,525,Psychic,,Synchronize,,Magic Bounce,
197,Umbreon,Eeveelution,95,65,110,60,130,65,525,Dark,,Synchronize,,Inner Focus,
198,Murkrow,,60,85,42,85,42,91,405,Dark,Flying,Insomnia,Super Luck,Prankster,Dusk Stone
199,Slowking,,95,75,80,100,110,30,490,Water,Psychic,Oblivious,Own Tempo,Regenerator,
199.1,Slowking (Galarian),Galarian Form,95,65,80,110,110,30,490,Poison,Psychic,Curious Medicine,Own Tempo,Regenerator,
